Date,Open,High,Low,Close,Adj Close,Volume
2013-11-01,74.860001,74.971428,73.691429,74.290001,68.991508,68722500
2013-11-04,74.442856,75.260002,74.115715,75.25,69.883018,61156900
2013-11-05,74.940002,75.555717,74.714287,75.064285,69.710571,66303300
2013-11-06,74.878571,74.980003,74.028572,74.417145,69.513077,55843900
2013-11-07,74.225716,74.741432,73.197144,73.21286,68.38813,65655100
2013-11-08,73.511429,74.447144,73.227142,74.365715,69.465034,69829200
2013-11-11,74.284286,74.524284,73.487144,74.150002,69.263535,56863100
2013-11-12,73.952858,74.845711,73.85714,74.28714,69.391632,51069200
2013-11-13,74.0,74.60714,73.851425,74.375717,69.474358,49305200
2013-11-14,74.687141,75.611427,74.552856,75.451431,70.479202,70604800
2013-11-15,75.225716,75.584282,74.927139,74.998573,70.056198,79480100
2013-11-18,74.998573,75.312859,74.028572,74.089996,69.207481,61236000
2013-11-19,74.147141,74.76857,73.995712,74.221428,69.330238,52234700
2013-11-20,74.175713,74.345711,73.475716,73.571426,68.723076,48479200
2013-11-21,73.942856,74.458572,73.381432,74.44857,69.542412,65506700
2013-11-22,74.21714,74.594284,74.075714,74.257141,69.363609,55931400
2013-11-25,74.431427,75.124283,74.428574,74.82,69.889374,57327900
2013-11-26,74.874283,76.591431,74.85714,76.199997,71.178429,100345700
2013-11-27,76.615715,78.0,76.199997,77.994286,72.854485,90862100
2013-11-29,78.497147,79.761429,78.258568,79.438568,74.203583,79531900
2013-12-02,79.714287,80.618568,78.688568,78.747147,73.557716,118136200
2013-12-03,79.757141,80.91143,79.668571,80.902855,75.571373,112742000
2013-12-04,80.785713,81.312859,80.117142,80.714287,75.395233,94452400
2013-12-05,81.807144,82.162857,80.915718,81.128571,75.782219,111895000
2013-12-06,80.827141,80.964287,79.938568,80.002853,74.730682,86088100
2013-12-09,80.128571,81.368568,80.128571,80.918571,75.586052,80123400
2013-12-10,80.511429,81.125717,80.171425,80.792854,75.46862,69567400
2013-12-11,81.0,81.567146,79.955711,80.194283,74.909492,89929700
2013-12-12,80.305717,80.762856,80.004288,80.077141,74.800064,65572500
2013-12-13,80.407143,80.41143,79.095711,79.204285,73.984741,83205500
2013-12-16,79.288574,80.377144,79.28714,79.64286,74.394409,70648200
2013-12-17,79.401428,79.919998,79.054283,79.284286,74.059464,57475600
2013-12-18,78.528572,78.778572,76.971428,78.681427,73.496353,141465800
2013-12-19,78.5,78.571426,77.675713,77.779999,72.654312,80077200
2013-12-20,77.918571,78.80143,77.831429,78.431427,73.262817,109103400
2013-12-23,81.14286,81.531425,80.394287,81.441429,76.074455,125326600
2013-12-24,81.412857,81.697144,80.861427,81.095711,75.751503,41888700
2013-12-26,81.157143,81.35714,80.482857,80.557144,75.248436,51002000
2013-12-27,80.545715,80.629997,79.928574,80.012856,74.740021,56471100
2013-12-30,79.637146,80.012856,78.902855,79.21714,73.996742,63407400
2013-12-31,79.167145,80.182854,79.14286,80.145714,74.86412,55771100
2014-01-02,79.382858,79.575714,78.860001,79.01857,73.811249,58671200
2014-01-03,78.980003,79.099998,77.204285,77.28286,72.189934,98116900
2014-01-06,76.778572,78.114288,76.228569,77.704285,72.583565,103152700
2014-01-07,77.760002,77.994286,76.845711,77.148575,72.064499,79302300
2014-01-08,76.972855,77.937141,76.955711,77.637146,72.520866,64632400
2014-01-09,78.114288,78.122856,76.478569,76.645714,71.59478,69787200
2014-01-10,77.118568,77.257141,75.872856,76.134285,71.117065,76244000
2014-01-13,75.701431,77.5,75.697144,76.53286,71.489357,94623200
2014-01-14,76.888573,78.104286,76.808571,78.055717,72.911858,83140400
2014-01-15,79.074287,80.028572,78.808571,79.622856,74.375732,97909700
2014-01-16,79.271431,79.550003,78.811432,79.178574,73.960701,57319500
2014-01-17,78.78286,78.867142,77.128571,77.238571,72.148567,106684900
2014-01-21,77.284286,78.581429,77.202858,78.438568,73.26947,82131700
2014-01-22,78.701431,79.612854,78.258568,78.78714,73.595078,94996300
2014-01-23,78.562859,79.5,77.830002,79.454285,74.218262,100809800
2014-01-24,79.14286,79.374283,77.821426,78.010002,72.869156,107338700
2014-01-27,78.581429,79.257141,77.964287,78.64286,73.460289,138719700
2014-01-28,72.68,73.571426,71.724289,72.35714,67.588814,266380800
2014-01-29,71.992859,72.48143,71.23143,71.535713,66.821526,125702500
2014-01-30,71.791428,72.35714,70.957146,71.397141,66.692085,169625400
2014-01-31,70.739998,71.647141,70.507141,71.514282,66.801498,116199300
2014-02-03,71.80143,72.53286,71.328575,71.647141,66.925598,100366000
2014-02-04,72.264282,72.779999,71.822861,72.684288,67.894409,94170300
2014-02-05,72.365715,73.611427,72.321426,73.227142,68.401497,82086200
2014-02-06,72.865715,73.35714,72.544289,73.215714,68.800171,64441300
2014-02-07,74.482857,74.704285,73.91143,74.239998,69.762688,92570100
2014-02-10,74.094284,75.998573,74.0,75.57,71.012466,86389800
2014-02-11,75.80143,76.821426,75.64286,76.565712,71.948151,70564200
2014-02-12,76.707146,77.080002,76.177139,76.559998,71.942772,77025200
2014-02-13,76.379997,77.835716,76.314285,77.775711,73.085152,76849500
2014-02-14,77.495712,77.997147,77.315712,77.71286,73.026115,68231100
2014-02-18,78.0,78.741432,77.944283,77.998573,73.294601,65062900
2014-02-19,77.821426,78.127144,76.335716,76.767143,72.137436,78442000
2014-02-20,76.141426,76.714287,75.571426,75.878571,71.302429,76464500
2014-02-21,76.112854,76.367142,74.942856,75.035713,70.510406,69696200
2014-02-24,74.735718,75.702858,74.631432,75.364288,70.819168,72227400
2014-02-25,75.625717,75.652855,74.428574,74.580002,70.082199,57988000
2014-02-26,74.80143,75.0,73.657143,73.907143,69.449905,69054300
2014-02-27,73.877144,75.540001,73.721428,75.381432,70.835281,75470500
2014-02-28,75.582855,76.10714,74.58857,75.177139,70.643311,92992200
2014-03-03,74.774284,75.807144,74.687141,75.394287,70.847366,59695300
2014-03-04,75.85714,76.091431,75.395714,75.891426,71.314522,64785000
2014-03-05,75.845711,76.39286,75.589996,76.05143,71.464882,50015700
2014-03-06,76.112854,76.348572,75.442856,75.821426,71.248749,46372200
2014-03-07,75.870003,75.997147,75.150002,75.777145,71.207138,55182400
2014-03-10,75.480003,76.190002,75.477142,75.845711,71.271561,44646000
2014-03-11,76.492859,76.96286,76.084282,76.584282,71.965584,69806100
2014-03-12,76.358574,76.764282,76.0,76.658569,72.0354,49831600
2014-03-13,76.777145,77.094284,75.594284,75.807144,71.235321,64435700
2014-03-14,75.541428,75.841431,74.714287,74.955711,70.435242,59299800
2014-03-17,75.385712,75.709999,75.121429,75.248573,70.710449,49886200
2014-03-18,75.128571,75.995712,75.028572,75.914284,71.335983,52411800
2014-03-19,76.03714,76.605713,75.571426,75.894287,71.317207,56189000
2014-03-20,75.69857,76.095711,75.335716,75.528572,70.973541,52099600
2014-03-21,75.989998,76.25,75.190002,76.124283,71.533325,93511600
2014-03-24,76.917145,77.214287,76.437141,77.027145,72.381744,88925200
2014-03-25,77.35714,77.964287,77.084282,77.855713,73.160339,70573300
2014-03-26,78.074287,78.428574,76.980003,77.111427,72.460953,74942000
2014-03-27,77.145714,77.35714,76.445717,76.779999,72.149513,55507900
2014-03-28,76.902855,76.991432,76.321426,76.694283,72.068962,50141000
2014-03-31,77.03286,77.258568,76.561432,76.677139,72.052841,42167300
2014-04-01,76.822861,77.410004,76.681427,77.378571,72.711967,50190000
2014-04-02,77.482857,77.639999,77.18,77.507141,72.832802,45105200
2014-04-03,77.341431,77.5,76.805717,76.970001,72.328049,40586000
2014-04-04,77.115715,77.14286,75.797142,75.974289,71.392395,68812800
2014-04-07,75.431427,75.842857,74.555717,74.781425,70.271484,72462600
2014-04-08,75.027145,75.160004,74.099998,74.777145,70.267441,60972100
2014-04-09,74.662857,75.784286,74.574287,75.760002,71.191032,51542400
2014-04-10,75.811432,76.034286,74.738571,74.78286,70.27282,59913000
2014-04-11,74.14286,74.690002,73.877144,74.230003,69.753304,67929400
2014-04-14,74.557144,74.594284,73.887146,74.525711,70.031174,51418500
2014-04-15,74.324287,74.519997,73.047142,73.994286,69.531792,66622500
2014-04-16,74.007141,74.441429,73.44857,74.144287,69.672745,53691400
2014-04-17,74.285713,75.394287,74.171425,74.991432,70.468811,71083600
2014-04-21,75.048569,76.019997,74.851425,75.881432,71.305138,45637200
2014-04-22,75.472855,75.975716,75.214287,75.957146,71.376282,50640800
2014-04-23,75.580002,75.875717,74.921425,74.964287,70.443291,98735000
2014-04-24,81.172859,81.428574,80.104286,81.110001,76.218376,189977900
2014-04-25,80.647141,81.71286,80.565712,81.705711,76.778152,97568800
2014-04-28,81.828575,85.10714,81.792854,84.870003,79.751595,167371400
2014-04-29,84.82,85.139999,84.215714,84.618568,79.515327,84344400
